# x, y, z, vx, vy, vz
2.426589466631412506e-02,-3.397451713681221008e-02,1.756430804729461670e+00,-9.371619671583175659e-04,-7.262323051691055298e-04,2.290248870849609375e-03
2.332873269915580750e-02,-3.470074944198131561e-02,1.758721053600311279e+00,-9.041186422109603882e-04,-5.746334791183471680e-04,2.183735370635986328e-03
2.242461405694484711e-02,-3.527538292109966278e-02,1.760904788970947266e+00,-8.465051651000976562e-04,-4.509445279836654663e-04,2.090573310852050781e-03
2.157810889184474945e-02,-3.572632744908332825e-02,1.762995362281799316e+00,-7.678577676415443420e-04,-3.339741379022598267e-04,1.999080181121826172e-03
2.081025112420320511e-02,-3.606030158698558807e-02,1.764994442462921143e+00,-7.091267034411430359e-04,-2.064369618892669678e-04,1.904189586639404297e-03
2.010112442076206207e-02,-3.626673854887485504e-02,1.766898632049560547e+00,-6.482675671577453613e-04,-1.211240887641906738e-04,1.808822154998779297e-03
1.945285685360431671e-02,-3.638786263763904572e-02,1.768707454204559326e+00,-5.686478689312934875e-04,-7.360242307186126709e-05,1.713991165161132812e-03
1.888420898467302322e-02,-3.646146506071090698e-02,1.770421445369720459e+00,-4.802225157618522644e-04,-9.302049875259399414e-06,1.599192619323730469e-03
1.840398646891117096e-02,-3.647076711058616638e-02,1.772020637989044189e+00,-4.108780995011329651e-04,5.231238901615142822e-05,1.492023468017578125e-03
1.799310836941003799e-02,-3.641845472157001495e-02,1.773512661457061768e+00,-3.504240885376930237e-04,1.025293022394180298e-04,1.352250576019287109e-03
1.764268428087234497e-02,-3.631592541933059692e-02,1.774864912033081055e+00,-2.822577953338623047e-04,1.474805176258087158e-04,1.218140125274658203e-03
1.736042648553848267e-02,-3.616844490170478821e-02,1.776083052158355713e+00,-2.375617623329162598e-04,1.966692507266998291e-04,1.071035861968994141e-03
1.712286472320556641e-02,-3.597177565097808838e-02,1.777154088020324707e+00,-1.760646700859069824e-04,2.167243510484695435e-04,9.154677391052246094e-04
1.694680005311965942e-02,-3.575505129992961884e-02,1.778069555759429932e+00,-1.151207834482192993e-04,2.250038087368011475e-04,7.673501968383789062e-04
1.683167926967144012e-02,-3.553004749119281769e-02,1.778836905956268311e+00,-9.072292596101760864e-05,2.395641058683395386e-04,6.267428398132324219e-04
1.674095634371042252e-02,-3.529048338532447815e-02,1.779463648796081543e+00,-3.471039235591888428e-05,2.213045954704284668e-04,4.822015762329101562e-04
1.670624595135450363e-02,-3.506917878985404968e-02,1.779945850372314453e+00,-5.627050995826721191e-06,2.051331102848052979e-04,3.484487533569335938e-04
1.670061890035867691e-02,-3.486404567956924438e-02,1.780294299125671387e+00,4.108715802431106567e-05,1.629348844289779663e-04,2.115964889526367188e-04
1.674170605838298798e-02,-3.470111079514026642e-02,1.780505895614624023e+00,8.381064981222152710e-05,1.213457435369491577e-04,9.554624557495117188e-05
