# x, y, z, vx, vy, vz
2.330519109964370728e-01,1.158517207950353622e-01,1.709048271179199219e+00,7.418341934680938721e-03,-1.010158378630876541e-02,2.294421195983886719e-03
2.404702529311180115e-01,1.057501370087265968e-01,1.711342692375183105e+00,7.032036781311035156e-03,-9.571262169629335403e-03,2.690315246582031250e-03
2.475022897124290466e-01,9.617887483909726143e-02,1.714033007621765137e+00,6.603151559829711914e-03,-9.049080312252044678e-03,3.078818321228027344e-03
2.541054412722587585e-01,8.712979452684521675e-02,1.717111825942993164e+00,6.147779524326324463e-03,-8.475831709802150726e-03,3.373503684997558594e-03
2.602532207965850830e-01,7.865396281704306602e-02,1.720485329627990723e+00,5.642667412757873535e-03,-7.833442650735378265e-03,3.616809844970703125e-03
2.658958882093429565e-01,7.082052016630768776e-02,1.724102139472961426e+00,5.177319049835205078e-03,-7.234498392790555954e-03,3.852665424346923828e-03
2.710732072591781616e-01,6.358602177351713181e-02,1.727954804897308350e+00,4.653580486774444580e-03,-6.587391719222068787e-03,3.984630107879638672e-03
2.757267877459526062e-01,5.699863005429506302e-02,1.731939435005187988e+00,4.160180687904357910e-03,-5.956818349659442902e-03,4.090368747711181641e-03
2.798869684338569641e-01,5.104181170463562012e-02,1.736029803752899170e+00,3.664761781692504883e-03,-5.336122587323188782e-03,4.174947738647460938e-03
2.835517302155494690e-01,4.570568911731243134e-02,1.740204751491546631e+00,3.197565674781799316e-03,-4.742490127682685852e-03,4.204690456390380859e-03
2.867492958903312683e-01,4.096319898962974548e-02,1.744409441947937012e+00,2.776995301246643066e-03,-4.159333184361457825e-03,4.181921482086181641e-03
2.895262911915779114e-01,3.680386580526828766e-02,1.748591363430023193e+00,2.345025539398193359e-03,-3.589401021599769592e-03,4.153370857238769531e-03
2.918713167309761047e-01,3.321446478366851807e-02,1.752744734287261963e+00,1.981675624847412109e-03,-3.080643713474273682e-03,4.089295864105224609e-03
2.938529923558235168e-01,3.013382107019424438e-02,1.756834030151367188e+00,1.643218100070953369e-03,-2.575961872935295105e-03,3.959417343139648438e-03
2.954962104558944702e-01,2.755785919725894928e-02,1.760793447494506836e+00,1.334689557552337646e-03,-2.141026780009269714e-03,3.828644752502441406e-03
2.968309000134468079e-01,2.541683241724967957e-02,1.764622092247009277e+00,1.061953604221343994e-03,-1.737814396619796753e-03,3.649950027465820312e-03
2.978928536176681519e-01,2.367901802062988281e-02,1.768272042274475098e+00,8.458942174911499023e-04,-1.384872943162918091e-03,3.476023674011230469e-03
2.987387478351593018e-01,2.229414507746696472e-02,1.771748065948486328e+00,6.522461771965026855e-04,-1.068059355020523071e-03,3.248155117034912109e-03
2.993909940123558044e-01,2.122608572244644165e-02,1.774996221065521240e+00,5.047097802162170410e-04,-7.932819426059722900e-04,2.995669841766357422e-03
2.998957037925720215e-01,2.043280377984046936e-02,1.777991890907287598e+00,3.727227449417114258e-04,-5.686208605766296387e-04,2.748250961303710938e-03
3.002684265375137329e-01,1.986418291926383972e-02,1.780740141868591309e+00,2.631992101669311523e-04,-3.687106072902679443e-04,2.442657947540283203e-03
3.005316257476806641e-01,1.949547231197357178e-02,1.783182799816131592e+00,1.914799213409423828e-04,-2.533718943595886230e-04,2.170741558074951172e-03
3.007231056690216064e-01,1.924210041761398315e-02,1.785353541374206543e+00,1.197010278701782227e-04,-1.310370862483978271e-04,1.861214637756347656e-03
3.008428066968917847e-01,1.911106333136558533e-02,1.787214756011962891e+00,9.121000766754150391e-05,-6.444379687309265137e-05,1.561999320983886719e-03
3.009340167045593262e-01,1.904661953449249268e-02,1.788776755332946777e+00,7.914006710052490234e-05,6.977468729019165039e-06,1.244664192199707031e-03
3.010131567716598511e-01,1.905359700322151184e-02,1.790021419525146484e+00,2.583861351013183594e-05,5.310028791427612305e-05,9.115338325500488281e-04
3.010389953851699829e-01,1.910669729113578796e-02,1.790932953357696533e+00,1.758337020874023438e-05,6.250664591789245605e-05,5.994439125061035156e-04
3.010565787553787231e-01,1.916920393705368042e-02,1.791532397270202637e+00,-5.945563316345214844e-06,6.086751818656921387e-05,2.854466438293457031e-04
