# x, y, z, vx, vy, vz
-1.969531178474426270e-01,5.687406007200479507e-02,1.711293399333953857e+00,-5.539968609809875488e-03,-8.957789279520511627e-03,4.502415657043457031e-03
-2.024930864572525024e-01,4.791627079248428345e-02,1.715795814990997314e+00,-5.152881145477294922e-03,-8.288068696856498718e-03,4.625976085662841797e-03
-2.076459676027297974e-01,3.962820209562778473e-02,1.720421791076660156e+00,-4.762873053550720215e-03,-7.570521906018257141e-03,4.724264144897460938e-03
-2.124088406562805176e-01,3.205768018960952759e-02,1.725146055221557617e+00,-4.401437938213348389e-03,-6.827298551797866821e-03,4.723787307739257812e-03
-2.168102785944938660e-01,2.523038163781166077e-02,1.729869842529296875e+00,-4.004560410976409912e-03,-6.068717688322067261e-03,4.709541797637939453e-03
-2.208148390054702759e-01,1.916166394948959351e-02,1.734579384326934814e+00,-3.642342984676361084e-03,-5.351833999156951904e-03,4.664182662963867188e-03
-2.244571819901466370e-01,1.380982995033264160e-02,1.739243566989898682e+00,-3.254860639572143555e-03,-4.643984138965606689e-03,4.555404186248779297e-03
-2.277120426297187805e-01,9.165845811367034912e-03,1.743798971176147461e+00,-2.871446311473846436e-03,-3.926467150449752808e-03,4.398822784423828125e-03
-2.305834889411926270e-01,5.239378660917282104e-03,1.748197793960571289e+00,-2.504371106624603271e-03,-3.298006951808929443e-03,4.246294498443603516e-03
-2.330878600478172302e-01,1.941371709108352661e-03,1.752444088459014893e+00,-2.151213586330413818e-03,-2.687562257051467896e-03,4.049539566040039062e-03
-2.352390736341476440e-01,-7.461905479431152344e-04,1.756493628025054932e+00,-1.835882663726806641e-03,-2.177517861127853394e-03,3.832399845123291016e-03
-2.370749562978744507e-01,-2.923708409070968628e-03,1.760326027870178223e+00,-1.472711563110351562e-03,-1.684352755546569824e-03,3.614187240600585938e-03
-2.385476678609848022e-01,-4.608061164617538452e-03,1.763940215110778809e+00,-1.162767410278320312e-03,-1.228250563144683838e-03,3.318846225738525391e-03
